Test,Results
DC Test,PreAmpOut: 4.609V; GainStageOut: 6.38V; EmitBypOut: 2.853V; EmitFlloOut: 3.217V; SrcFlloOut: 3.79V; 12VOut: 11.985V; 8VOut: 8.007V; 6VOut: 5.893V; NegDrvOut: 5.905V; PosDrvOut: 5.914V; SPRKPos: 6.002V; SPRKNeg: 6.068V; 
Noise Test,PreAmpOut: 0.124922V 0Hz; GainStageOut: 0.550578V 0Hz; EmitBypOut: 0.123015V 0Hz; EmitFlloOut: 0.53562V 0Hz; SrcFlloOut: 0.251996V 0Hz; 12VOut: 0.157794V 0Hz; 8VOut: 0.171973V 0Hz; 6VOut: 0.108457V 0Hz; NegDrvOut: 3.0432V 0Hz; PosDrvOut: 3.022243V 0Hz; SPRKPos: 3.815855V 0Hz; SPRKNeg: 3.702076V 0Hz; 
Gain Test,PreAmpOut: 0.050318V 0Hz; GainStageOut: 0.063718V 0Hz; EmitBypOut: 0.057137V 0Hz; EmitFlloOut: 0.049641V 0Hz; SrcFlloOut: 0.091551V 0Hz; 12VOut: 0.07593V 0Hz; 8VOut: 0.069666V 0Hz; 6VOut: 0.056479V 0Hz; NegDrvOut: 0.128888V 0Hz; PosDrvOut: 0.128032V 0Hz; SPRKPos: 0.200276V 0Hz; SPRKNeg: 0.18026V 0Hz; 
Flat Test,PreAmpOut: 0.085438V 0Hz; GainStageOut: 0.259475V 0Hz; EmitBypOut: 0.062246V 0Hz; EmitFlloOut: 0.254642V 0Hz; SrcFlloOut: 0.129879V 0Hz; 12VOut: 0.080082V 0Hz; 8VOut: 0.078785V 0Hz; 6VOut: 0.060746V 0Hz; NegDrvOut: 0.179195V 0Hz; PosDrvOut: 0.20843V 0Hz; SPRKPos: 0.257848V 0Hz; SPRKNeg: 0.233475V 0Hz; 
Flat Test,PreAmpOut: 0.083923V 0Hz; GainStageOut: 0.375047V 0Hz; EmitBypOut: 0.072435V 0Hz; EmitFlloOut: 0.364473V 0Hz; SrcFlloOut: 0.181936V 0Hz; 12VOut: 0.079847V 0Hz; 8VOut: 0.087615V 0Hz; 6VOut: 0.065879V 0Hz; NegDrvOut: 0.304967V 0Hz; PosDrvOut: 0.303267V 0Hz; SPRKPos: 0.550137V 0Hz; SPRKNeg: 0.539487V 0Hz; 
Flat Test,PreAmpOut: 0.086239V 0Hz; GainStageOut: 0.199309V 0Hz; EmitBypOut: 0.053052V 0Hz; EmitFlloOut: 0.195083V 0Hz; SrcFlloOut: 0.11653V 0Hz; 12VOut: 0.079494V 0Hz; 8VOut: 0.075494V 0Hz; 6VOut: 0.061247V 0Hz; NegDrvOut: 0.152832V 0Hz; PosDrvOut: 0.149724V 0Hz; SPRKPos: 0.230444V 0Hz; SPRKNeg: 0.214886V 0Hz; 
Bass Test,PreAmpOut: 0.081514V 0Hz; GainStageOut: 0.284009V 0Hz; EmitBypOut: 0.067558V 0Hz; EmitFlloOut: 0.247879V 0Hz; SrcFlloOut: 0.214456V 0Hz; 12VOut: 0.088563V 0Hz; 8VOut: 0.082484V 0Hz; 6VOut: 0.062154V 0Hz; NegDrvOut: 0.350499V 0Hz; PosDrvOut: 0.295125V 0Hz; SPRKPos: 0.526308V 0Hz; SPRKNeg: 0.509404V 0Hz; 
Bass Test,PreAmpOut: 0.088498V 0Hz; GainStageOut: 0.358007V 0Hz; EmitBypOut: 0.061515V 0Hz; EmitFlloOut: 0.344758V 0Hz; SrcFlloOut: 0.194589V 0Hz; 12VOut: 0.091208V 0Hz; 8VOut: 0.086901V 0Hz; 6VOut: 0.068069V 0Hz; NegDrvOut: 0.343794V 0Hz; PosDrvOut: 0.342177V 0Hz; SPRKPos: 0.618393V 0Hz; SPRKNeg: 0.61189V 0Hz; 
Bass Test,PreAmpOut: 0.080127V 0Hz; GainStageOut: 0.203251V 0Hz; EmitBypOut: 0.049011V 0Hz; EmitFlloOut: 0.194329V 0Hz; SrcFlloOut: 0.086415V 0Hz; 12VOut: 0.069244V 0Hz; 8VOut: 0.078502V 0Hz; 6VOut: 0.056975V 0Hz; NegDrvOut: 0.087397V 0Hz; PosDrvOut: 0.09413V 0Hz; SPRKPos: 0.095201V 0Hz; SPRKNeg: 0.078213V 0Hz; 
Treble Test,PreAmpOut: 0.080326V 0Hz; GainStageOut: 0.282332V 0Hz; EmitBypOut: 0.05678V 0Hz; EmitFlloOut: 0.239576V 0Hz; SrcFlloOut: 0.097611V 0Hz; 12VOut: 0.075869V 0Hz; 8VOut: 0.08178V 0Hz; 6VOut: 0.056069V 0Hz; NegDrvOut: 0.103482V 0Hz; PosDrvOut: 0.094504V 0Hz; SPRKPos: 0.105987V 0Hz; SPRKNeg: 0.080087V 0Hz; 
Treble Test,PreAmpOut: 0.108531V 0Hz; GainStageOut: 0.401081V 0Hz; EmitBypOut: 0.079093V 0Hz; EmitFlloOut: 0.382713V 0Hz; SrcFlloOut: 0.302059V 0Hz; 12VOut: 0.095736V 0Hz; 8VOut: 0.108667V 0Hz; 6VOut: 0.081753V 0Hz; NegDrvOut: 0.553973V 0Hz; PosDrvOut: 0.555938V 0Hz; SPRKPos: 1.026603V 0Hz; SPRKNeg: 1.018879V 0Hz; 
Treble Test,PreAmpOut: 0.083594V 0Hz; GainStageOut: 0.196847V 0Hz; EmitBypOut: 0.055577V 0Hz; EmitFlloOut: 0.186774V 0Hz; SrcFlloOut: 0.19152V 0Hz; 12VOut: 0.07973V 0Hz; 8VOut: 0.078217V 0Hz; 6VOut: 0.065725V 0Hz; NegDrvOut: 0.255204V 0Hz; PosDrvOut: 0.256575V 0Hz; SPRKPos: 0.454878V 0Hz; SPRKNeg: 0.445488V 0Hz; 
Pres Test,PreAmpOut: 0.087271V 0Hz; GainStageOut: 0.385457V 0Hz; EmitBypOut: 0.06661V 0Hz; EmitFlloOut: 0.369222V 0Hz; SrcFlloOut: 0.184458V 0Hz; 12VOut: 0.078186V 0Hz; 8VOut: 0.088324V 0Hz; 6VOut: 0.061537V 0Hz; NegDrvOut: 0.30604V 0Hz; PosDrvOut: 0.315416V 0Hz; SPRKPos: 0.562448V 0Hz; SPRKNeg: 0.548984V 0Hz; 
Pres Test,PreAmpOut: 0.078104V 0Hz; GainStageOut: 0.374201V 0Hz; EmitBypOut: 0.054225V 0Hz; EmitFlloOut: 0.364716V 0Hz; SrcFlloOut: 0.174977V 0Hz; 12VOut: 0.077036V 0Hz; 8VOut: 0.087259V 0Hz; 6VOut: 0.058349V 0Hz; NegDrvOut: 0.141246V 0Hz; PosDrvOut: 0.14193V 0Hz; SPRKPos: 0.226356V 0Hz; SPRKNeg: 0.214847V 0Hz; 
Aux Test,PreAmpOut: 0.055577V 0Hz; GainStageOut: 0.053297V 0Hz; EmitBypOut: 0.048966V 0Hz; EmitFlloOut: 0.041012V 0Hz; SrcFlloOut: 0.075958V 0Hz; 12VOut: 0.06897V 0Hz; 8VOut: 0.067326V 0Hz; 6VOut: 0.051881V 0Hz; NegDrvOut: 0.074733V 0Hz; PosDrvOut: 0.083485V 0Hz; SPRKPos: 0.076792V 0Hz; SPRKNeg: 0.048768V 0Hz; 
Aux Test,PreAmpOut: 0.048599V 0Hz; GainStageOut: 0.049962V 0Hz; EmitBypOut: 0.052584V 0Hz; EmitFlloOut: 0.051499V 0Hz; SrcFlloOut: 0.08995V 0Hz; 12VOut: 0.078962V 0Hz; 8VOut: 0.074186V 0Hz; 6VOut: 0.058392V 0Hz; NegDrvOut: 0.070533V 0Hz; PosDrvOut: 0.094876V 0Hz; SPRKPos: 0.071194V 0Hz; SPRKNeg: 0.053656V 0Hz; 
Aux Test,PreAmpOut: 0.050363V 0Hz; GainStageOut: 0.055085V 0Hz; EmitBypOut: 0.046726V 0Hz; EmitFlloOut: 0.041062V 0Hz; SrcFlloOut: 0.086648V 0Hz; 12VOut: 0.081244V 0Hz; 8VOut: 0.080849V 0Hz; 6VOut: 0.055379V 0Hz; NegDrvOut: 0.076097V 0Hz; PosDrvOut: 0.088244V 0Hz; SPRKPos: 0.086322V 0Hz; SPRKNeg: 0.059593V 0Hz; 
